Chatbot_ID,Name,Description,Visibility,Total_Chats,Last_Active,Link
GPT001,Task Scheduler Pro,Schedules tasks into days based on user deadlines.,Only me,unkn,unkn,https://chatgpt.com/g/g-674e62922238819183d626b6ef209c59-task-scheduler-pro
GPT002,Basic Idle Clicker ChatBot,Lua code and documentation assistant for Roblox Idle Clicker Game.,Only me,unkn,unkn,https://chatgpt.com/g/g-6744adcbdeec8191a66764b587e86580-basic-idle-clicker-chatbot
GPT003,Data Science Python Guide,Expert Python guide for Data Science projects in Google Colab.,Everyone,6,unkn,https://chatgpt.com/g/g-6734bcd980288190902bc365ba805dbd-data-science-python-guide
GPT004,Faelora Robotics Guide,Step-by-step guide for building a sustainable Faelora-inspired robot.,Only me,unkn,unkn,https://chatgpt.com/g/g-6734bc1deb808190bf94d153163560e9-faelora-robotics-guide
GPT005,Havyn Noir,Gothic horror reviewer weaving eerie allure into every critique.,Only me,unkn,unkn,https://chatgpt.com/g/g-RLlR4BE74-havyn-noir
GPT006,Vibrational Guide,Guides vibrational energy shifts with gradual recommendations.,Only me,unkn,unkn,https://chatgpt.com/g/g-yc9bLn6AF-vibrational-guide
GPT007,Minesweeper Risk and Reward Advisor,"Gives Minesweeper odds and strategies without showing math, keeping advice simple.",Only me,unkn,unkn,https://chatgpt.com/g/g-aKxbAELri-minesweeper-risk-and-reward-advisor
GPT008,Game Prototype Designer,"Helps users design custom game prototypes by guiding them through personalized choices like theme, mechanics, and obstacles, creating unique games with tailored rules.",Only me,unkn,unkn,https://chatgpt.com/g/g-PC1ReU99c-game-prototype-designer
GPT009,Level Up Critique,"Objective, constructive peer review for game designers, focusing on clarity, gameplay, and creativity.",Anyone with a link,1,unkn,https://chatgpt.com/g/g-i7lzJd0R3-level-up-critique
GPT011,Answer Bot: ResponseCube,"Generates fun, relatable 200-250 word stories for young entrepreneurs.",Anyone with a link,3,unkn,https://chatgpt.com/g/g-responsecube
GPT012,Question Bot: QueryCube,Creates deep Gen Z-style questions for wild answers.,Only me,unkn,unkn,https://chatgpt.com/g/g-querycube
GPT013,Book Editing Assistant,Assists in editing books with tailored feedback.,Only me,unkn,unkn,https://chatgpt.com/g/g-book-editing-assistant
GPT014,LoreCraft Engine,Supports creative and flexible RPG game development.,Only me,unkn,unkn,https://chatgpt.com/g/g-lorecraft-engine
GPT015,Emoji Converter for 3D Print Labels,Converts titles into relevant emojis for 3D print labeling.,Only me,unkn,unkn,https://chatgpt.com/g/g-emoji-converter
GPT016,Literal Drax,Drax responds literally to all questions with creative ASCII art.,Everyone,2,unkn,https://chatgpt.com/g/g-literal-drax
GPT017,Saga Supervisor,"Guides novel creation with a suspenseful, introspective style in dark fantasy settings.",Anyone with a link,9,unkn,https://chatgpt.com/g/g-saga-supervisor
GPT018,MZ-3.0,Polishes classic texts into Gen Z-friendly translations.,Anyone with a link,7,unkn,https://chatgpt.com/g/g-mz-3-0
GPT019,SAB-2.0,Enhances book translations with scholarly insights.,Anyone with a link,6,unkn,https://chatgpt.com/g/g-sab-2-0
GPT020,AWGZ-1.0,Translates ancient wisdom into Gen Z slang with a futuristic twist.,Only me,unkn,unkn,https://chatgpt.com/g/g-awgz-1-0
GPT021,Philosophy Gen Z Translator,Curates & translates philosophy for Gen Z using modern slang and tone.,Only me,unkn,unkn,https://chatgpt.com/g/g-philosophy-gen-z-translator
